id_regional;codigo;denominacion;partida_presupuestal;estado;id_usuario_inserta;id_tipo_concepto;importe;id_tipo_afectacion;id_moneda;moneda;periodo;centro_costo;genera_pago;cuenta_contable_debe;cuenta_contable_al_haber1;cuenta_contable_al_haber2
5;00001;VENTAS;;1;1;1;1;;1;SOLES;2023;;1;;;70
5;00002;Servicios terminados;;1;1;2;1;;1;SOLES;2023;;;;;703
5;00003;Servicios local;;1;1;3;1;;1;SOLES;2023;;;;;7032
5;00004;Terceros;;1;1;4;1;;1;SOLES;2023;;;;;70321
5;00005;Colegiatura;G04010;1;1;5;1;30;1;SOLES;2023;100401;;12121;40111;703211
5;00006;Cuota Gremial (Aportación Mensual);G02011;1;1;6;1;30;1;SOLES;2023;100201;;12121;40111;703212
5;00007;Certificado de Habilitación Profesional;G02012;1;1;7;1;10;1;SOLES;2023;100202;;12121;40111;703213
5;00008;Inscripción en la Regional Lima;G02013;1;1;8;1;30;1;SOLES;2023;100203;;12121;40111;703214
5;00009;Derechos de revisión de Edificaciones;G06010;1;1;9;1;10;1;SOLES;2023;100601;;12121;40111;703215
5;00010;Inspecciones Técnicas de Obra;G06012;1;1;10;1;10;1;SOLES;2023;100603;;12121;40111;703216
5;00011;Habilitaciones Urbanas de Obra;G06011;1;1;11;1;10;1;SOLES;2023;100602;;12121;40111;703217
5;00012;Data de Proyectos y Otros;G05012;1;1;12;1;10;1;SOLES;2023;100503;;12121;40111;703218
5;00013;Registro de Actividad Profesional de Revisores Urbanos;G06013;1;1;13;1;10;1;SOLES;2023;100604;;12121;40111;703219
5;00014;OTROS INGRESOS DE GESTION;;1;1;14;1;;1;SOLES;2023;;1;;;75
5;00015;Alquileres;;1;1;15;1;;1;SOLES;2023;;1;;;754
5;00016;Activos fijos, bienes no depreciables de transferencia a título gratuito;G05013;1;1;16;1;10;1;SOLES;2023;100504;;12121;40111;7546
5;00017;Otros ingresos de gestión;;1;1;17;1;;1;SOLES;2023;;1;;;759
5;00018;Donaciones;G11010;1;1;18;1;30;1;SOLES;2023;101101;;12121;40111;7593
5;00019;Otros ingresos de gestión;;1;1;19;1;;1;SOLES;2023;;;;;7599
5;00020;Venta de Libros - Folletos - Separatas;G05010;1;1;20;1;30;1;SOLES;2023;100501;1;12121;40111;759910
5;00021;Reglamento Nacional de Edificaciones;G05010;1;1;20;1;30;1;SOLES;2023;100501;;12121;40111;759910
5;00022;Catálogo Bialima;G07706;1;1;20;1;30;1;SOLES;2023;100707;;12121;40111;759910
5;00023;Multas por no Votar;G12010;1;1;21;1;30;1;SOLES;2023;101201;;12121;40111;759912
5;00024;Material para nuevos Colegiado;G05011;1;1;22;1;30;1;SOLES;2023;100502;;12121;40111;759913
5;00025;Seguro Oncológico;G09010;1;1;23;1;10;1;SOLES;2023;100901;1;12121;40111;759914
5;00026;Fotocopias;G10012;1;1;24;1;10;1;SOLES;2023;101003;1;12121;40111;759915
5;00027;Auspicios Aniversario de la Regional Lima;G08010;1;1;25;1;10;1;SOLES;2023;100801;;12121;40111;759916
5;00028;Auspicios para comunicaciones, capacitaciones y otros;G08011;1;1;25;1;10;1;SOLES;2023;100802;;12121;40111;759916
5;00029;Ingresos por devolución de comisión bancaria;G12012;1;1;26;1;10;1;SOLES;2023;101203;;12121;40111;759919
5;00030;Ingresos por devolución de Gastos administrativos - Comisiones Niubiz - Otras comisiones;G12011;1;1;26;1;10;1;SOLES;2023;101202;;12121;40111;759919
5;00031;Otros ingresos;;1;1;27;1;;1;SOLES;2023;;1;;;75992
5;00032;Eventos - Cenas Para Aniversario Regional Lima;G08010;1;1;28;1;10;1;SOLES;2023;100801;;12121;40111;759920
5;00033;Ajuste por Redondeo;G12016;1;1;29;1;30;1;SOLES;2023;101207;;12121;40111;759921
