id;id_municipalidad_integrada;id_municipalidad;id_usuario_inserta
1;1;5;1
2;2;5;1
3;3;5;1
4;4;6;1
5;5;6;1
6;6;6;1
7;7;1;1
8;8;7;1
9;9;7;1
10;10;7;1
11;11;7;1
12;12;13;1
13;13;13;1
14;14;12;1
15;15;3;1
16;16;3;1
17;17;14;1
18;18;14;1
19;19;14;1
20;20;1;1
21;21;1;1
22;22;1;1
23;23;8;1
24;24;8;1
25;25;8;1
26;26;8;1
27;27;9;1
28;28;9;1
29;29;26;1
30;30;32;1
31;31;31;1
32;32;49;1
33;32;50;1
34;33;48;1
35;33;46;1
36;33;47;1
37;34;51;1
38;34;52;1
39;34;53;1
41;35;54;1
355;69;71;1
43;36;64;1
44;36;65;1
45;36;63;1
46;37;54;1
47;37;57;1
48;37;58;1
49;37;59;1
50;37;60;1
51;37;61;1
52;37;62;1
53;38;66;1
54;38;67;1
55;38;68;1
56;38;69;1
57;39;15;1
58;40;2;1
59;41;10;1
61;43;10;1
62;44;11;1
63;45;11;1
64;46;16;1
65;46;17;1
66;47;18;1
67;47;19;1
69;48;20;1
70;49;21;1
71;49;22;1
72;50;24;1
74;51;25;1
75;52;25;1
76;53;27;1
77;54;28;1
78;55;29;1
79;56;44;1
80;57;45;1
82;59;33;1
83;59;34;1
84;60;36;1
85;60;37;1
86;60;38;1
87;61;39;1
88;61;40;1
89;61;41;1
90;61;42;1
91;61;43;1
365;73;36;1
93;63;70;1
94;64;71;1
366;73;37;1
96;65;4;1
97;66;15;1
367;73;38;1
368;73;85;1
380;76;54;1
381;76;55;1
102;50;23;1
103;35;55;1
104;35;56;1
105;48;82;1
106;68;81;1
107;42;80;1
382;76;56;1
383;76;57;1
110;68;70;1
111;68;79;1
112;58;35;1
384;76;58;1
385;76;59;1
386;76;60;1
387;76;61;1
388;76;62;1
393;79;33;1
394;79;34;1
395;79;29;1
400;80;77;1
403;42;9;1
407;42;4;1
408;64;24;1
409;64;23;1
410;81;77;1
411;42;10;1
412;42;47;1
413;82;76;1
414;82;78;1
415;34;64;1
353;42;79;1
356;70;57;1
357;70;60;1
363;72;12;1
369;74;39;1
370;74;40;1
371;74;41;1
372;74;42;1
373;74;43;1
374;74;44;1
375;74;45;1
389;77;66;1
390;77;67;1
396;71;50;1
397;71;68;1
398;71;69;1
401;76;86;1
404;73;35;1
192;63;1;1
193;63;2;1
194;63;3;1
195;63;4;1
196;63;5;1
197;63;6;1
198;63;7;1
199;63;8;1
200;63;9;1
201;63;10;1
202;63;11;1
203;63;12;1
204;63;13;1
205;63;14;1
206;63;15;1
207;63;16;1
208;63;17;1
209;63;18;1
210;63;19;1
211;63;20;1
212;63;21;1
213;63;22;1
214;63;23;1
215;63;24;1
216;63;25;1
217;63;26;1
218;63;27;1
219;63;28;1
220;63;29;1
221;63;30;1
222;63;31;1
223;63;32;1
224;63;33;1
225;63;34;1
226;63;35;1
227;63;36;1
228;63;37;1
229;63;38;1
230;63;39;1
231;63;40;1
232;63;41;1
233;63;42;1
234;63;43;1
235;63;44;1
236;63;45;1
237;63;46;1
238;63;47;1
239;63;48;1
240;63;49;1
241;63;50;1
242;63;51;1
243;63;52;1
244;63;53;1
245;63;54;1
246;63;55;1
247;63;56;1
248;63;57;1
249;63;58;1
250;63;59;1
251;63;60;1
252;63;61;1
253;63;62;1
254;63;63;1
255;63;64;1
256;63;65;1
257;63;66;1
258;63;67;1
259;63;68;1
260;63;69;1
261;63;71;1
262;63;74;1
263;63;75;1
264;63;76;1
265;63;77;1
266;63;78;1
267;63;79;1
268;63;80;1
269;63;81;1
270;63;82;1
271;56;30;1
272;62;7;1
273;62;1;1
274;62;2;1
275;62;3;1
276;62;4;1
277;62;5;1
278;62;6;1
279;62;8;1
280;62;9;1
281;62;10;1
282;62;11;1
283;62;12;1
284;62;13;1
285;62;14;1
286;62;15;1
287;62;16;1
288;62;17;1
289;62;18;1
290;62;19;1
291;62;20;1
292;62;21;1
293;62;22;1
294;62;23;1
295;62;24;1
296;62;25;1
297;62;26;1
298;62;27;1
299;62;28;1
300;62;29;1
301;62;30;1
302;62;31;1
303;62;32;1
304;62;33;1
305;62;34;1
306;62;35;1
307;62;36;1
308;62;37;1
309;62;38;1
310;62;39;1
311;62;40;1
312;62;41;1
313;62;42;1
314;62;43;1
315;62;44;1
316;62;45;1
317;62;46;1
318;62;47;1
319;62;48;1
320;62;49;1
321;62;50;1
322;62;51;1
323;62;52;1
324;62;53;1
325;62;54;1
326;62;55;1
327;62;56;1
328;62;57;1
329;62;58;1
330;62;59;1
331;62;60;1
332;62;61;1
333;62;62;1
334;62;63;1
335;62;64;1
336;62;65;1
337;62;66;1
338;62;67;1
339;62;68;1
340;62;69;1
341;62;70;1
342;62;71;1
343;62;74;1
344;62;75;1
345;62;76;1
346;62;77;1
347;62;78;1
348;62;79;1
349;62;80;1
350;62;81;1
351;62;82;1
354;68;80;1
361;36;84;1
376;75;64;1
377;75;49;1
378;75;65;1
379;75;63;1
391;78;27;1
392;78;28;1
399;37;86;1
402;73;75;1
405;76;74;1
