id;id_regional;denominacion;id_tipo_municipalidad;id_ubigeo;id_usuario_inserta
1;5;MIRAFLORES;215;150122;1
2;5;BREÑA;215;150105;1
3;5;PUEBLO LIBRE;215;150121;1
5;5;LA MOLINA;215;150114;1
6;5;SAN BORJA;215;150130;1
7;5;SAN ISIDRO;215;150131;1
8;5;SANTIAGO DE SURCO;215;150140;1
9;5;BARRANCO;215;150104;1
10;5;CHORRILLOS;215;150108;1
11;5;LA VICTORIA;215;150115;1
12;5;LINCE;215;150116;1
13;5;MAGDALENA DEL MAR;215;150101;1
14;5;SAN MIGUEL;215;150136;1
16;5;BELLAVISTA;215;070102;1
18;5;COMAS;215;150110;1
20;5;EL AGUSTINO;215;150111;1
21;5;INDEPENDENCIA;215;150112;1
22;5;SAN MARTIN DE PORRES;215;150135;1
23;5;LA PERLA;215;070104;1
24;5;LA PUNTA;215;070105;1
25;5;LOS OLIVOS;215;150117;1
26;5;LURIN;215;150119;1
27;5;RIMAC;215;150128;1
29;5;SAN JUAN DE MIRAFLORES;215;150133;1
30;5;SAN LUIS;215;150134;1
31;5;SANTA ANITA;215;150137;1
32;5;SURQUILLO;215;150141;1
33;5;VILLA MARIA DEL TRIUNFO;215;150143;1
34;5;VILLA EL SALVADOR;215;150142;1
35;5;VENTANILLA;215;250402;1
36;5;ANCON;215;150102;1
37;5;SANTA ROSA;215;150139;1
38;5;PUENTE PIEDRA;215;150125;1
39;5;ASIA;215;150502;1
40;5;QUILMANA;215;150512;1
41;5;CERRO AZUL;215;150504;1
42;5;IMPERIAL;215;150507;1
43;5;NUEVO IMPERIAL;215;150510;1
44;5;SAN LUIS;215;150514;1
45;5;CAÑETE;215;150501;1
48;5;CHOSICA;215;250403;1
49;5;CHILCA;215;150505;1
50;5;PUCUSANA;215;150124;1
51;5;CIENEGUILLA;215;150109;1
52;5;SAN ANTONIO DE HUAROCHIRI;215;150716;1
53;5;PACHACAMAC;215;150123;1
55;5;CHANCAY;215;150605;1
56;5;AUCALLAMA;215;150604;1
57;5;HUAURA;215;150806;1
58;5;HUALMAY;215;150805;1
59;5;SANTA MARIA;215;150810;1
60;5;BARRANCA;215;150201;1
61;5;VEGUETA;215;150812;1
62;5;SAYAN;215;150811;1
63;5;MALA;215;150509;1
64;5;SAN ANTONIO;215;150513;1
65;5;SANTA CRUZ DE FLORES;215;150515;1
66;5;PUNTA HERMOSA;215;150126;1
67;5;PUNTA NEGRA;215;150127;1
68;5;SAN BARTOLO;215;150129;1
69;5;SANTA MARIA DEL MAR;215;150138;1
71;5;CALLAO;216;070101;1
15;5;ATE;215;150103;1
17;5;CARMEN DE LA LEGUA REYNOSO;215;070103;1
74;5;HUACHO;215;150801;1
75;5;VENTANILLA;215;070106;1
76;5;SUPE;215;150204;1
77;5;LUNAHUANA;215;150508;1
78;5;CANTA;215;150401;1
47;5;LURIGANCHO CHOSICA;215;150118;1
54;5;HUARAL DISTRITAL;215;150601;1
28;5;SAN JUAN DE LURIGANCHO;215;150132;1
19;5;CARABAYLLO;215;150106;1
79;5;CERCADO DE LIMA - CENTRO HISTORICO;215;150101;1
82;5;SANTA MARIA DE HUACHIPA;215;150118;1
85;5;MI PERÚ;215;070107;1
86;5;PARAMONGA;215;150202;1
4;5;JESUS MARIA;215;150101;1
81;5;CERCADO DE LIMA - TECNICA AD HOC DE LIMA;216;150101;1
80;5;CERCADO DE LIMA - CENTRO HISTORICO;215;150101;1
70;5;CERCADO Y PROVINCIAL DE LIMA;216;150101;1
84;5;COAYLLO;215;150506;1
46;5;CHACLACAYO;215;150107;1
