id;type;guard_name;name;description;parent_id;sort;created_at;updated_at
1;admin;web;admin.access.user;All User Permissions;;1;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
2;admin;web;admin.access.user.list;View Users;1;1;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
3;admin;web;admin.access.user.deactivate;Deactivate Users;1;2;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
4;admin;web;admin.access.user.reactivate;Reactivate Users;1;3;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
5;admin;web;admin.access.user.clear-session;Clear User Sessions;1;4;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
6;admin;web;admin.access.user.impersonate;Impersonate Users;1;5;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
7;admin;web;admin.access.user.change-password;Change User Passwords;1;6;2023-11-02 06:14:32.000;2023-11-02 06:14:32.000
8;user;web;Nuevo Agremiado;Nuevo Agremiado;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
9;user;web;Consulta de Agremiado;Consulta de Agremiado;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
10;user;web;Multas;Multas;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
11;user;web;Afiliciacion a Seguro;Afiliciacion a Seguro;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
12;user;web;Concurso;Concurso;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
13;user;web;Concurso Postula;Concurso Postula;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
14;user;web;Resultado de Concurso;Resultado de Concurso;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
15;user;web;Consulta de Resultado de Concurso;Consulta de Resultado de Concurso;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
16;user;web;Comisiones;Comisiones;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
17;user;web;Consulta de Comisiones;Consulta de Comisiones;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
18;user;web;Programacion de Sesiones;Programacion de Sesiones;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
19;user;web;Empresas;Empresas;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
20;user;web;Municipalidades;Municipalidades;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
21;user;web;Conceptos;Conceptos;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
22;user;web;Tipo de Conceptos;Tipo de Conceptos;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
23;user;web;Seguros;Seguros;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
24;user;web;Periodo Comision;Periodo Comision;;1;2023-12-02 05:51:09.000;2023-12-02 05:51:09.000
25;user;web;Movilidad;Movilidad;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
26;user;web;Persona;Persona;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
27;user;web;Profesion;Profesion;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
28;user;web;Otros Profesionales;Otros Profesionales;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
29;user;web;Estado de Cuenta;Estado de Cuenta;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
30;user;web;Certificado Tipo 4;Certificado Tipo 4;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
31;user;web;Consulta de Facturas;Consulta de Facturas;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
32;user;web;Pronto Pago;Pronto Pago;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
33;user;web;Fondo Comun Planilla;Fondo Comun Planilla;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
34;user;web;Adelantos y Descuentos Delegado;Adelantos y Descuentos Delegado;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
35;user;web;Planilla Delegados;Planilla Delegados;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
36;user;web;Derecho Revision;Derecho Revision;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
37;user;web;Registro Revisor Urbano;Registro Revisor Urbano;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
38;user;web;Calendario de Computo de Sesiones;Calendario de Computo de Sesiones;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
39;user;web;Computo de Sesiones;Computo de Sesiones;;1;2023-12-02 05:51:10.000;2023-12-02 05:51:10.000
